[2026-09-05 17:25:32:063] .\Envir\lua/LuaLib/fairy_fate.lua time：172

[2026-09-05 17:25:42:787] LuaNPC: ID:999999999 执行 startup player: 耗时：47; NpcThreadId: 25604, CurPlayThreadId: 25604

[2026-09-05 19:43:21:958] LuaNPC: ID:999999999 执行 startup player: 耗时：47; NpcThreadId: 33700, CurPlayThreadId: 33700

[2026-09-05 19:46:54:677] LuaNPC:玩家名字 ID:999999999 执行 sendability player:玩家名字 耗时：62; NpcThreadId: 33700, CurPlayThreadId: 33700
[2026-09-05 19:46:56:186] LuaNPC:玩家名字 ID:999999999 执行 login player:玩家名字 耗时：1734; NpcThreadId: 33700, CurPlayThreadId: 33700

[2026-09-05 19:47:03:492] LuaNPC:玩家名字 ID:999999999 执行 npc_200_fbjs player:玩家名字 耗时：63; NpcThreadId: 33700, CurPlayThreadId: 33700

[2026-09-05 19:47:05:588] LuaNPC:玩家名字 ID:999999999 执行 takeonex player:玩家名字 耗时：63; NpcThreadId: 33700, CurPlayThreadId: 33700
[2026-09-05 19:47:05:740] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：47; NpcThreadId: 33700, CurPlayThreadId: 33700
[2026-09-05 19:47:08:532] LuaNPC:玩家名字 ID:999999999 执行 pickupitemex player:玩家名字 耗时：31; NpcThreadId: 33700, CurPlayThreadId: 33700

[2026-09-05 19:47:37:735] LuaNPC:玩家名字 ID:999999999 执行 deletetask player:玩家名字 耗时：265; NpcThreadId: 33700, CurPlayThreadId: 33700
[2026-09-05 19:47:37:735] LuaNPC:玩家名字 ID:999999999 执行 killmon player:玩家名字 耗时：265; NpcThreadId: 33700, CurPlayThreadId: 33700

[2026-09-05 19:50:24:093] LuaNPC:玩家名字 ID:999999999 执行 login player:玩家名字 耗时：47; NpcThreadId: 33700, CurPlayThreadId: 33700

[2026-09-05 19:57:48:564] LuaNPC:玩家名字 ID:999999999 执行 login player:玩家名字 耗时：31; NpcThreadId: 33700, CurPlayThreadId: 33700

[2026-09-05 19:57:59:448] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：47; NpcThreadId: 33700, CurPlayThreadId: 33700
[2026-09-05 19:58:00:895] LuaNPC:玩家名字 ID:999999999 执行 killmon player:玩家名字 耗时：31; NpcThreadId: 33700, CurPlayThreadId: 33700

[2026-09-05 19:58:04:106] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：63; NpcThreadId: 33700, CurPlayThreadId: 33700

[2026-09-05 19:58:09:636] LuaNPC:玩家名字 ID:999999999 执行 entermap player:玩家名字 耗时：31; NpcThreadId: 33700, CurPlayThreadId: 33700
[2026-09-05 19:58:09:642] LuaNPC:玩家名字 ID:999999999 执行 handlerequest player:玩家名字 耗时：31; NpcThreadId: 33700, CurPlayThreadId: 33700
[2026-09-05 19:58:09:642] [玩家名字]Lua执行耗时过高:31ms msgid:100 103 2 0 

[2026-09-05 19:58:59:622] LuaNPC:玩家名字 ID:999999999 执行 handlerequest player:玩家名字 耗时：109; NpcThreadId: 33700, CurPlayThreadId: 33700
[2026-09-05 19:58:59:622] [玩家名字]Lua执行耗时过高:109ms msgid:100 32 1 0 

