[2026-01-08 17:13:20:725] 共享HUMMAP映射名：box
[2026-01-08 17:13:23:847] 加载新版地图14字节: .\Map\D3804_2.map(60/60)
[2026-01-08 17:13:23:881] 加载996专属地图成功: .\Map\xtc.map(270/270)
[2026-01-08 17:13:23:895] 加载新版地图14字节: .\Map\q004.map(30/30)
[2026-01-08 17:13:23:922] 加载996专属地图成功: .\Map\03023.map(250/260)
[2026-01-08 17:13:23:923] 加载新版地图14字节: .\Map\n0150.map(32/34)
[2026-01-08 17:13:23:928] 加载996专属地图成功: .\Map\03023.map(250/260)
[2026-01-08 17:13:23:928] 加载新版地图14字节: .\Map\n0150.map(32/34)
[2026-01-08 17:13:23:937] 加载新版地图14字节: .\Map\D1206.map(100/100)
[2026-01-08 17:13:23:960] 加载新版地图14字节: .\Map\ID1_002.map(400/400)
[2026-01-08 17:13:23:961] 加载新版地图14字节: .\Map\D3804_2.map(60/60)
[2026-01-08 17:13:23:971] >>Onrun M2HEART
[2026-01-08 17:13:23:977] 加载996专属地图成功: .\Map\mwsl.map(74/82)
[2026-01-08 17:13:23:993] 加载996专属地图成功: .\Map\slwtzdt.map(48/50)

[2026-01-08 17:13:24:007] 加载996专属地图成功: .\Map\cmyt.map(130/150)
[2026-01-08 17:13:24:012] 加载996专属地图成功: .\Map\xtc.map(270/270)
[2026-01-08 17:13:24:027] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:24:040] 加载996专属地图成功: .\Map\tmxz.map(312/279)
[2026-01-08 17:13:24:050] 加载996专属地图成功: .\Map\cgzd.map(114/166)
[2026-01-08 17:13:24:065] 加载996专属地图成功: .\Map\dhzj.map(64/65)
[2026-01-08 17:13:24:083] 加载996专属地图成功: .\Map\hgsq.map(180/164)
[2026-01-08 17:13:24:100] 加载996专属地图成功: .\Map\xssl.map(186/162)
[2026-01-08 17:13:24:102] 加载996专属地图成功: .\Map\xssl.map(186/162)
[2026-01-08 17:13:24:104] 加载996专属地图成功: .\Map\xssl.map(186/162)
[2026-01-08 17:13:24:107] 加载996专属地图成功: .\Map\xssl.map(186/162)
[2026-01-08 17:13:24:123] 加载996专属地图成功: .\Map\wbmh.map(138/138)
[2026-01-08 17:13:24:162] 加载新版地图14字节: .\Map\ER62_Forest.map(400/400)
[2026-01-08 17:13:24:182] 加载新版地图14字节: .\Map\D422.map(400/400)
[2026-01-08 17:13:24:209] 加载新版地图14字节: .\Map\D713.map(400/400)
[2026-01-08 17:13:24:236] 加载新版地图14字节: .\Map\ED200931Evt_5.map(350/350)
[2026-01-08 17:13:24:263] 加载新版地图14字节: .\Map\ER63_Forest.map(400/400)
[2026-01-08 17:13:24:305] 加载新版地图14字节: .\Map\D20012.map(300/300)
[2026-01-08 17:13:24:318] 加载996专属地图成功: .\Map\mjrk.map(154/156)
[2026-01-08 17:13:24:321] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:24:323] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:24:346] 加载新版地图14字节: .\Map\GhFuben20.map(400/400)
[2026-01-08 17:13:24:367] 加载新版地图14字节: .\Map\D30042.map(350/350)
[2026-01-08 17:13:24:401] 加载新版地图14字节: .\Map\GM_020.map(400/400)
[2026-01-08 17:13:24:414] 加载新版地图14字节: .\Map\EZ025.map(250/250)
[2026-01-08 17:13:24:428] 加载新版地图14字节: .\Map\ID8_010.map(150/150)
[2026-01-08 17:13:24:458] 加载新版地图14字节: .\Map\ID9_00.map(400/400)
[2026-01-08 17:13:24:476] 加载新版地图14字节: .\Map\ZD203.map(350/350)
[2026-01-08 17:13:24:493] 加载新版地图14字节: .\Map\ZD202.map(350/350)
[2026-01-08 17:13:24:518] 加载新版地图14字节: .\Map\ZD1101.map(300/300)
[2026-01-08 17:13:24:522] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:24:525] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:24:552] 加载新版地图14字节: .\Map\D3703.map(400/400)
[2026-01-08 17:13:24:570] 加载新版地图14字节: .\Map\D3802_S3.map(350/350)
[2026-01-08 17:13:24:587] 加载新版地图14字节: .\Map\D5000.map(100/100)
[2026-01-08 17:13:24:597] 加载新版地图14字节: .\Map\D5073.map(100/100)
[2026-01-08 17:13:24:613] 加载新版地图14字节: .\Map\D11032.map(100/100)
[2026-01-08 17:13:24:616] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:24:620] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:24:627] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:24:629] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:24:637] 加载996专属地图成功: .\Map\xlgm.map(170/160)
[2026-01-08 17:13:24:650] 加载996专属地图成功: .\Map\yyxy.map(150/204)
[2026-01-08 17:13:24:674] 加载新版地图14字节: .\Map\12.map(400/400)
[2026-01-08 17:13:24:700] 加载新版地图14字节: .\Map\D1421.map(400/400)
[2026-01-08 17:13:24:708] 加载996专属地图成功: .\Map\sg169.map(70/64)
[2026-01-08 17:13:24:724] 加载新版地图14字节: .\Map\D2205.map(70/70)
[2026-01-08 17:13:24:724] 加载新版地图14字节: .\Map\D5073.map(100/100)
[2026-01-08 17:13:24:741] 加载新版地图14字节: .\Map\ID7_003.map(300/300)
[2026-01-08 17:13:24:805] 加载新版地图14字节: .\Map\E15.map(600/700)
[2026-01-08 17:13:24:828] 加载新版地图14字节: .\Map\14.map(200/200)
[2026-01-08 17:13:24:853] 加载新版地图14字节: .\Map\72.map(400/200)
[2026-01-08 17:13:24:872] 加载996专属地图成功: .\Map\dzsj.map(167/167)
[2026-01-08 17:13:24:887] 加载996专属地图成功: .\Map\yscl.map(166/144)
[2026-01-08 17:13:24:900] 加载996专属地图成功: .\Map\dwdlzc.map(160/133)
[2026-01-08 17:13:24:907] 加载996专属地图成功: .\Map\zjc.map(80/80)
[2026-01-08 17:13:24:915] 加载996专属地图成功: .\Map\yzlj.map(104/106)
[2026-01-08 17:13:24:924] 加载996专属地图成功: .\Map\xysjq.map(48/48)
[2026-01-08 17:13:24:925] 加载996专属地图成功: .\Map\srsjq.map(74/88)
[2026-01-08 17:13:24:941] 加载新版地图14字节: .\Map\Mota_Zj_03.map(150/200)
[2026-01-08 17:13:24:952] 加载新版地图14字节: .\Map\TrainField_06.map(90/90)
[2026-01-08 17:13:24:970] 加载996专属地图成功: .\Map\4dlzc.map(128/128)
[2026-01-08 17:13:25:022] 加载新版地图14字节: .\Map\ER61_Forest.map(400/500)
[2026-01-08 17:13:25:039] 加载996专属地图成功: .\Map\egdl1.map(166/154)
[2026-01-08 17:13:25:053] 加载996专属地图成功: .\Map\mjsc.map(167/152)
[2026-01-08 17:13:25:054] 加载新版地图14字节: .\Map\D2900.map(100/150)
[2026-01-08 17:13:25:069] 加载新版地图14字节: .\Map\D2907.map(86/86)
[2026-01-08 17:13:25:085] 加载新版地图14字节: .\Map\ID8_004.map(300/300)
[2026-01-08 17:13:25:098] 加载996专属地图成功: .\Map\ttyj.map(120/180)
[2026-01-08 17:13:25:100] 加载996专属地图成功: .\Map\egdl4.map(126/112)
[2026-01-08 17:13:25:113] 加载996专属地图成功: .\Map\bjzc.map(81/121)
[2026-01-08 17:13:25:114] 加载996专属地图成功: .\Map\cgzd.map(114/166)
[2026-01-08 17:13:25:117] 加载新版地图14字节: .\Map\ER61_Forest.map(400/500)
[2026-01-08 17:13:25:149] 加载新版地图14字节: .\Map\ER71_Raider.map(400/400)
[2026-01-08 17:13:25:153] 加载996专属地图成功: .\Map\qcdl.map(213/219)
[2026-01-08 17:13:25:167] 加载新版地图14字节: .\Map\ER51_Ice.map(300/300)
[2026-01-08 17:13:25:168] 加载新版地图14字节: .\Map\001.map(108/118)
[2026-01-08 17:13:25:188] 加载996专属地图成功: .\Map\sdlzc.map(134/142)
[2026-01-08 17:13:25:205] 加载996专属地图成功: .\Map\gzdj.map(115/114)
[2026-01-08 17:13:25:212] 加载996专属地图成功: .\Map\tbsl.map(83/80)
[2026-01-08 17:13:25:213] 加载996专属地图成功: .\Map\srsjq.map(74/88)
[2026-01-08 17:13:25:222] 加载996专属地图成功: .\Map\sgzc.map(130/150)
[2026-01-08 17:13:25:223] 加载996专属地图成功: .\Map\sj.map(94/94)
[2026-01-08 17:13:25:223] 加载996专属地图成功: .\Map\fxsjq.map(64/76)
[2026-01-08 17:13:25:232] 加载996专属地图成功: .\Map\yinzlj.map(136/124)
[2026-01-08 17:13:25:243] 加载996专属地图成功: .\Map\xwyz.map(104/104)
[2026-01-08 17:13:25:251] 加载新版地图14字节: .\Map\ID8_007.map(250/250)
[2026-01-08 17:13:25:268] 加载新版地图14字节: .\Map\PanyeShiKuPTFB02.map(200/200)
[2026-01-08 17:13:25:287] 加载新版地图14字节: .\Map\QTD2304_4Z.map(300/300)
[2026-01-08 17:13:25:298] 加载新版地图14字节: .\Map\WomaDYFb00.map(100/100)
[2026-01-08 17:13:25:299] 加载996专属地图成功: .\Map\4dlzc.map(128/128)
[2026-01-08 17:13:25:309] 加载新版地图14字节: .\Map\XS01.map(250/250)
[2026-01-08 17:13:25:328] 加载新版地图14字节: .\Map\YGShiwang01.map(300/300)
[2026-01-08 17:13:25:347] 加载新版地图14字节: .\Map\ZD1103.map(300/300)
[2026-01-08 17:13:25:349] 加载新版地图14字节: .\Map\D3802_S3.map(350/350)
[2026-01-08 17:13:25:363] 加载996专属地图成功: .\Map\cymj.map(42/50)
[2026-01-08 17:13:25:378] 加载996专属地图成功: .\Map\dzyj.map(117/135)
[2026-01-08 17:13:25:393] 加载996专属地图成功: .\Map\dldlzc.map(110/98)
[2026-01-08 17:13:25:444] 加载新版地图14字节: .\Map\D3400_1.map(600/600)
[2026-01-08 17:13:25:446] 加载996专属地图成功: .\Map\yzlj.map(104/106)
[2026-01-08 17:13:25:456] 加载996专属地图成功: .\Map\tzlj.map(145/208)
[2026-01-08 17:13:25:458] 加载996专属地图成功: .\Map\tzlj.map(145/208)
[2026-01-08 17:13:25:459] 加载新版地图14字节: .\Map\D30042.map(350/350)
[2026-01-08 17:13:25:476] 加载996专属地图成功: .\Map\dsdlzc.map(143/159)
[2026-01-08 17:13:25:478] 加载新版地图14字节: .\Map\ID9_00.map(400/400)
[2026-01-08 17:13:25:480] >>Onrun M2HEART
[2026-01-08 17:13:25:482] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:485] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:487] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:491] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:494] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:496] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:499] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:502] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:504] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:507] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:511] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:513] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:515] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:518] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:521] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:523] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:526] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:529] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:532] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:535] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:537] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:541] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:544] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:546] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:548] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:552] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:554] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:557] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:559] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:562] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:564] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:567] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:569] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-01-08 17:13:25:584] 加载新版地图14字节: .\Map\ID6_Wait.map(70/70)
[2026-01-08 17:13:25:586] 加载996专属地图成功: .\Map\shsd.map(100/112)
[2026-01-08 17:13:25:595] 加载996专属地图成功: .\Map\xbsl.map(60/64)
[2026-01-08 17:13:25:595] 加载996专属地图成功: .\Map\xysjq.map(48/48)
[2026-01-08 17:13:27:008] >>Onrun M2HEART
[2026-01-08 17:13:28:520] >>Onrun M2HEART
[2026-01-08 17:13:28:922] GM_OPEN nSocket 0 nHandle 140689845387296
[2026-01-08 17:13:28:938] >>Login: 1 
[2026-01-08 17:13:28:938] >>LoginInfo: *#qccclllll/玩家名字k/30000000001765018223000002410/5/2/0/1/0/1/1/0/1
[2026-01-08 17:13:28:938] >>Login: 2 qccclllll, sessionID:5
[2026-01-08 17:13:28:938] >>Login: 4 qccclllll 0 SessInfoIsNil:-1
[2026-01-08 17:13:28:938] GetSession Fail：5, Account: qccclllll

[2026-01-08 17:13:30:039] >>Onrun M2HEART
[2026-01-08 17:13:31:555] >>Onrun M2HEART
[2026-01-08 17:13:33:071] >>Onrun M2HEART

[2026-01-08 17:13:34:573] >>Onrun M2HEART
[2026-01-08 17:13:36:103] >>Onrun M2HEART
[2026-01-08 17:13:37:610] >>Onrun M2HEART

[2026-01-08 17:13:39:133] >>Onrun M2HEART
[2026-01-08 17:13:40:637] >>Onrun M2HEART
[2026-01-08 17:13:42:159] >>Onrun M2HEART
[2026-01-08 17:13:43:672] >>Onrun M2HEART

[2026-01-08 17:13:45:186] >>Onrun M2HEART
[2026-01-08 17:13:46:700] >>Onrun M2HEART
[2026-01-08 17:13:48:215] >>Onrun M2HEART

[2026-01-08 17:13:49:736] >>Onrun M2HEART
[2026-01-08 17:13:51:255] >>Onrun M2HEART
[2026-01-08 17:13:52:761] >>Onrun M2HEART

[2026-01-08 17:13:54:282] >>Onrun M2HEART
[2026-01-08 17:13:55:791] >>Onrun M2HEART
[2026-01-08 17:13:57:315] >>Onrun M2HEART
[2026-01-08 17:13:58:828] >>Onrun M2HEART

[2026-01-08 17:14:00:348] >>Onrun M2HEART
[2026-01-08 17:14:01:860] >>Onrun M2HEART
[2026-01-08 17:14:03:380] >>Onrun M2HEART

[2026-01-08 17:14:04:890] >>Onrun M2HEART
[2026-01-08 17:14:06:409] >>Onrun M2HEART
[2026-01-08 17:14:07:924] >>Onrun M2HEART

[2026-01-08 17:14:09:444] >>Onrun M2HEART
[2026-01-08 17:14:10:959] >>Onrun M2HEART
[2026-01-08 17:14:12:472] >>Onrun M2HEART
[2026-01-08 17:14:13:984] >>Onrun M2HEART

[2026-01-08 17:14:15:498] >>Onrun M2HEART
[2026-01-08 17:14:17:012] >>Onrun M2HEART
[2026-01-08 17:14:18:526] >>Onrun M2HEART

[2026-01-08 17:14:20:042] >>Onrun M2HEART
[2026-01-08 17:14:21:560] >>Onrun M2HEART
[2026-01-08 17:14:23:075] >>Onrun M2HEART

[2026-01-08 17:14:24:601] >>Onrun M2HEART
[2026-01-08 17:14:26:115] >>Onrun M2HEART
[2026-01-08 17:14:27:619] >>Onrun M2HEART

[2026-01-08 17:14:29:145] >>Onrun M2HEART
[2026-01-08 17:14:30:660] >>Onrun M2HEART
[2026-01-08 17:14:32:167] >>Onrun M2HEART
[2026-01-08 17:14:33:690] >>Onrun M2HEART

[2026-01-08 17:14:35:200] >>Onrun M2HEART
[2026-01-08 17:14:36:712] >>Onrun M2HEART
[2026-01-08 17:14:38:231] >>Onrun M2HEART

[2026-01-08 17:14:39:745] >>Onrun M2HEART
[2026-01-08 17:14:41:267] >>Onrun M2HEART
[2026-01-08 17:14:42:785] >>Onrun M2HEART

[2026-01-08 17:14:44:297] >>Onrun M2HEART
[2026-01-08 17:14:45:815] >>Onrun M2HEART
[2026-01-08 17:14:47:330] >>Onrun M2HEART
[2026-01-08 17:14:48:846] >>Onrun M2HEART

[2026-01-08 17:14:50:365] >>Onrun M2HEART
[2026-01-08 17:14:51:879] >>Onrun M2HEART
[2026-01-08 17:14:53:386] >>Onrun M2HEART

[2026-01-08 17:14:54:905] >>Onrun M2HEART
[2026-01-08 17:14:56:427] >>Onrun M2HEART
[2026-01-08 17:14:57:934] >>Onrun M2HEART

[2026-01-08 17:14:59:456] >>Onrun M2HEART
[2026-01-08 17:15:00:977] >>Onrun M2HEART
[2026-01-08 17:15:02:484] >>Onrun M2HEART
[2026-01-08 17:15:04:000] >>Onrun M2HEART

