[2025-09-28 10:18:32:514] [10:18:32] 正在启动游戏客户端控制器...
[2025-09-28 10:18:32:517] [10:18:32] 游戏控制台启动完成...

[2025-09-28 11:20:37:012] [11:20:36] 正在启动数据库服务器...
[2025-09-28 11:20:38:641] [11:20:38] 数据库服务器启动完成...
[2025-09-28 11:20:39:629] [11:20:39] 正在启动游戏主程序...

[2025-09-28 11:20:53:303] [11:20:53] 游戏主程序启动完成...
[2025-09-28 11:20:53:630] [11:20:53] 正在启动游戏网关[7001]...
[2025-09-28 11:20:53:738] [11:20:53] 游戏网关启动完成[7001]...
[2025-09-28 11:20:54:178] [11:20:54] 正在启动登录网关[7000]...

[2025-09-28 15:02:03:484] [15:02:03] 正在开始停止服务器...
[2025-09-28 15:02:04:558] [15:02:04] 登录网关已停止...
[2025-09-28 15:02:04:560] [15:02:04] 游戏网关一已停止...
[2025-09-28 15:02:06:980] [15:02:06] 游戏引擎主程序已停止...

[2025-09-28 15:02:18:261] [15:02:17] 游戏数据库服务器已停止...
[2025-09-28 15:02:20:763] [15:02:20] 正在启动数据库服务器...

[2025-09-28 15:02:22:518] [15:02:22] 数据库服务器启动完成...
[2025-09-28 15:02:22:847] [15:02:22] 正在启动游戏主程序...

[2025-09-28 15:02:31:155] [15:02:30] 游戏主程序启动完成...
[2025-09-28 15:02:31:265] [15:02:31] 正在启动游戏网关[7001]...
[2025-09-28 15:02:31:267] [15:02:31] 游戏网关启动完成[7001]...
[2025-09-28 15:02:31:479] [15:02:31] 正在启动登录网关[7000]...

[2025-09-28 15:14:28:123] [15:14:28] 正在开始停止服务器...
[2025-09-28 15:14:29:167] [15:14:29] 登录网关已停止...
[2025-09-28 15:14:29:167] [15:14:29] 游戏网关一已停止...

[2025-09-28 15:14:32:602] [15:14:32] 游戏引擎主程序已停止...

[2025-09-28 15:14:43:853] [15:14:43] 游戏数据库服务器已停止...

[2025-09-28 15:14:48:142] [15:14:48] 正在启动数据库服务器...
[2025-09-28 15:14:49:994] [15:14:49] 数据库服务器启动完成...
[2025-09-28 15:14:50:105] [15:14:50] 正在启动游戏主程序...

[2025-09-28 15:14:58:487] [15:14:58] 游戏主程序启动完成...
[2025-09-28 15:14:58:490] [15:14:58] 正在启动游戏网关[7001]...
[2025-09-28 15:14:58:528] [15:14:58] 游戏网关启动完成[7001]...
[2025-09-28 15:14:58:746] [15:14:58] 正在启动登录网关[7000]...

[2025-09-28 15:16:35:318] [15:16:35] 正在开始停止服务器...
[2025-09-28 15:16:36:399] [15:16:36] 登录网关已停止...
[2025-09-28 15:16:36:400] [15:16:36] 游戏网关一已停止...

[2025-09-28 15:16:38:811] [15:16:38] 游戏引擎主程序已停止...

[2025-09-28 15:16:50:120] [15:16:49] 游戏数据库服务器已停止...
[2025-09-28 15:16:51:386] [15:16:51] 正在启动数据库服务器...

[2025-09-28 15:16:53:144] [15:16:53] 数据库服务器启动完成...
[2025-09-28 15:16:53:467] [15:16:53] 正在启动游戏主程序...

[2025-09-28 15:17:01:689] [15:17:01] 游戏主程序启动完成...

[2025-09-28 15:17:02:021] [15:17:02] 正在启动游戏网关[7001]...
[2025-09-28 15:17:02:026] [15:17:02] 游戏网关启动完成[7001]...
[2025-09-28 15:17:02:342] [15:17:02] 正在启动登录网关[7000]...

[2025-09-29 08:55:51:445] [8:55:51] 游戏引擎服务器心跳中断，已被重新启动...
[2025-09-29 08:55:51:552] [8:55:51] RunGate(659774, 7001) Connect Fail

[2025-09-29 08:55:53:419] [8:55:53] 游戏引擎服务器异常关闭，已被重新启动...
[2025-09-29 08:55:53:624] [8:55:53] RunGate(659774, 7001) Connect Fail
[2025-09-29 08:55:53:626] [8:55:53] 正在启动游戏主程序...
[2025-09-29 08:55:55:593] [8:55:55] RunGate(659774, 7001) Connect Fail

[2025-09-29 08:55:57:671] [8:55:57] RunGate(659774, 7001) Connect Fail
[2025-09-29 08:55:59:647] [8:55:59] RunGate(659774, 7001) Connect Fail
[2025-09-29 08:56:01:609] [8:56:01] RunGate(659774, 7001) Connect Fail

[2025-09-29 08:56:03:696] [8:56:03] RunGate(659774, 7001) Connect Fail
[2025-09-29 08:56:05:005] [8:56:04] 游戏主程序启动完成...
[2025-09-29 08:56:05:654] [8:56:05] RunGate(659774, 7001) Connect Fail

[2025-09-29 17:09:01:756] [17:09:01] 游戏引擎服务器心跳中断，已被重新启动...

[2025-09-29 17:09:02:298] [17:09:02] RunGate(659774, 7001) Connect Fail
[2025-09-29 17:09:03:826] [17:09:03] 游戏引擎服务器异常关闭，已被重新启动...
[2025-09-29 17:09:03:943] [17:09:03] 正在启动游戏主程序...
[2025-09-29 17:09:04:386] [17:09:04] RunGate(659774, 7001) Connect Fail
[2025-09-29 17:09:06:362] [17:09:06] RunGate(659774, 7001) Connect Fail

[2025-09-29 17:09:08:318] [17:09:08] RunGate(659774, 7001) Connect Fail
[2025-09-29 17:09:10:401] [17:09:10] RunGate(659774, 7001) Connect Fail

[2025-09-29 17:09:12:380] [17:09:12] RunGate(659774, 7001) Connect Fail
[2025-09-29 17:09:14:447] [17:09:14] RunGate(659774, 7001) Connect Fail
[2025-09-29 17:09:16:416] [17:09:16] RunGate(659774, 7001) Connect Fail

[2025-09-29 17:09:18:492] [17:09:18] RunGate(659774, 7001) Connect Fail
[2025-09-29 17:09:20:461] [17:09:20] RunGate(659774, 7001) Connect Fail

[2025-09-29 17:09:22:431] [17:09:22] RunGate(659774, 7001) Connect Fail
[2025-09-29 17:09:24:510] [17:09:24] RunGate(659774, 7001) Connect Fail
[2025-09-29 17:09:26:478] [17:09:26] RunGate(659774, 7001) Connect Fail

[2025-09-29 17:09:28:559] [17:09:28] RunGate(659774, 7001) Connect Fail
[2025-09-29 17:09:30:516] [17:09:30] RunGate(659774, 7001) Connect Fail

[2025-09-29 17:09:32:594] [17:09:32] RunGate(659774, 7001) Connect Fail
[2025-09-29 17:09:34:572] [17:09:34] RunGate(659774, 7001) Connect Fail
[2025-09-29 17:09:36:544] [17:09:36] RunGate(659774, 7001) Connect Fail

[2025-09-29 17:09:38:620] [17:09:38] RunGate(659774, 7001) Connect Fail
[2025-09-29 17:09:40:596] [17:09:40] RunGate(659774, 7001) Connect Fail

[2025-09-29 17:09:42:667] [17:09:42] RunGate(659774, 7001) Connect Fail
[2025-09-29 17:09:44:638] [17:09:44] RunGate(659774, 7001) Connect Fail
[2025-09-29 17:09:46:706] [17:09:46] RunGate(659774, 7001) Connect Fail

[2025-09-29 17:09:48:687] [17:09:48] RunGate(659774, 7001) Connect Fail
[2025-09-29 17:09:50:655] [17:09:50] RunGate(659774, 7001) Connect Fail

[2025-09-29 17:09:52:738] [17:09:52] RunGate(659774, 7001) Connect Fail
[2025-09-29 17:09:54:690] [17:09:54] RunGate(659774, 7001) Connect Fail
[2025-09-29 17:09:56:774] [17:09:56] RunGate(659774, 7001) Connect Fail

[2025-09-29 17:09:58:736] [17:09:58] RunGate(659774, 7001) Connect Fail
[2025-09-29 17:10:00:730] [17:10:00] RunGate(659774, 7001) Connect Fail

[2025-09-29 17:10:02:799] [17:10:02] RunGate(659774, 7001) Connect Fail
[2025-09-29 17:10:04:766] [17:10:04] RunGate(659774, 7001) Connect Fail
[2025-09-29 17:10:06:845] [17:10:06] RunGate(659774, 7001) Connect Fail

[2025-09-29 17:10:08:819] [17:10:08] RunGate(659774, 7001) Connect Fail
[2025-09-29 17:10:10:903] [17:10:10] RunGate(659774, 7001) Connect Fail

[2025-09-29 17:10:12:873] [17:10:12] RunGate(659774, 7001) Connect Fail
[2025-09-29 17:10:14:936] [17:10:14] RunGate(659774, 7001) Connect Fail
[2025-09-29 17:10:16:915] [17:10:16] RunGate(659774, 7001) Connect Fail

[2025-09-29 17:10:18:992] [17:10:18] RunGate(659774, 7001) Connect Fail
[2025-09-29 17:10:20:970] [17:10:20] RunGate(659774, 7001) Connect Fail

[2025-09-29 17:10:23:040] [17:10:22] RunGate(659774, 7001) Connect Fail
[2025-09-29 17:10:25:001] [17:10:24] RunGate(659774, 7001) Connect Fail
[2025-09-29 17:10:26:969] [17:10:26] RunGate(659774, 7001) Connect Fail

[2025-09-29 17:10:29:050] [17:10:28] RunGate(659774, 7001) Connect Fail
[2025-09-29 17:10:31:024] [17:10:30] RunGate(659774, 7001) Connect Fail

[2025-09-29 17:10:33:115] [17:10:32] RunGate(659774, 7001) Connect Fail
